MobyGames Name,Master_ID,,Game Title,MobyGames Game ID,MobyGames URL,Release year,Price,Price(n/a=0),moby score,Second_hand_Available_all,Second_hand_over100$,Available_New_distribution,New_distribution_only(no second hand),Category,カテゴリ名,count_dummy,Available?,Source of availability,Availability notes,Platform,Product code,Why omitted?,,
pokmon-stadium,31,Historical_games,Pok?mon Stadium,6525,http://www.mobygames.com/game/pokmon-stadium,1999,9.5,9.504053511,7.3,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,"Switch Online, 2023",,,,,,
muzzy-learn-french-the-fun-way,32,Historical_games,Muzzy: Learn French the Fun Way,43462,http://www.mobygames.com/game/muzzy-learn-french-the-fun-way,1994,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
jamdat-bowling,33,Historical_games,JAMDAT Bowling,160196,http://www.mobygames.com/game/jamdat-bowling,2002,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
secret-of-monkey-island,34,Historical_games,The Secret of Monkey Island,616,http://www.mobygames.com/game/secret-of-monkey-island,1990,11.11,11.11275745,8.2,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://www.gog.com/en/game/the_secret_of_monkey_island_special_edition,,,,,,
story-maker,35,Historical_games,Story Maker,161405,http://www.mobygames.com/game/story-maker,1981,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
winner-iv,36,Historical_games,Winner IV,104567,http://www.mobygames.com/game/winner-iv,1973,6.12,6.117308384,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
cannondale-cup,37,Historical_games,Cannondale Cup,36240,http://www.mobygames.com/game/cannondale-cup,1994,16,15.995315,,1,0,0,0,1,A: 中古流通のみ,1,N,,Previously offered on Antstream in 2022 https://www.facebook.com/AntstreamArcade/photos/a.1009561812531482/2260444167443234/,,,,,
sink,38,Historical_games,Sink,184588,http://www.mobygames.com/game/sink,1979,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
twonky_,39,Historical_games,Twonky,125552,http://www.mobygames.com/game/twonky_,1975,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
xcoun,40,Historical_games,Xcoun,113395,http://www.mobygames.com/game/xcoun,1977,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
disney-sing-it-high-school-musical-3-senior-year,41,Historical_games,Disney Sing It: High School Musical 3 - Senior Year,61184,http://www.mobygames.com/game/disney-sing-it-high-school-musical-3-senior-year,2009,0.01,0.007055719,7.2,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
spider-man-mysterios-menace,42,Historical_games,Spider-Man: Mysterio's Menace,5246,http://www.mobygames.com/game/spider-man-mysterios-menace,2001,,0,7.5,0,0,0,0,0,F:入手困難,1,N,,,,,,,
krazy-ace-miniature-golf,43,Historical_games,Krazy Ace Miniature Golf,30785,http://www.mobygames.com/game/krazy-ace-miniature-golf,1993,,0,,0,0,0,0,0,F:入手困難,1,N,,Limited unsold stock sold by Songbird https://songbird-productions.com/product/krazy-ace-mini-golf/,,,,,
power-blade,44,Historical_games,Power Blade,12333,http://www.mobygames.com/game/power-blade,1991,12.23,12.22756105,7.5,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
time-pilot-84,45,Historical_games,Time Pilot '84,147608,http://www.mobygames.com/game/time-pilot-84,1984,,0,,0,0,1.2,1.3,1.2,C:正規デジタル流通のみ,1,Y,https://www.nintendo.com/store/products/arcade-archives-time-pilot-84-switch/,,,,,,
crash-twinsanity,46,Historical_games,Crash Twinsanity,16120,http://www.mobygames.com/game/crash-twinsanity,2004,1.27,1.270029422,6.8,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
rail,47,Historical_games,Rail,52754,http://www.mobygames.com/game/rail,1980,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
amiga-solitaire,48,Historical_games,Amiga Solitaire,67636,http://www.mobygames.com/game/amiga-solitaire,1991,22.23,22.23257061,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
disneys-the-emperors-new-groove-groove-center,49,Historical_games,Disney's The Emperor's New Groove: Groove Center,37537,http://www.mobygames.com/game/disneys-the-emperors-new-groove-groove-center,2002,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
superheroes-math-challenge,50,Historical_games,Superheroes Math Challenge,35302,http://www.mobygames.com/game/superheroes-math-challenge,2001,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
nanotank,51,Historical_games,Nanotank,10631,http://www.mobygames.com/game/nanotank,1993,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
disneys-pocahontas,52,Historical_games,Disney's Pocahontas,6657,http://www.mobygames.com/game/disneys-pocahontas,1996,,0,6.5,0,0,0,0,0,F:入手困難,1,N,,,,,,,
jammit,53,Historical_games,Jammit,689,http://www.mobygames.com/game/jammit,1994,4.99,4.988393342,6.1,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
high-stakes,54,Historical_games,High Stakes,181926,http://www.mobygames.com/game/high-stakes,1979,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
james-camerons-avatar-the-game__,55,Historical_games,James Cameron's Avatar: The Game,54642,http://www.mobygames.com/game/james-camerons-avatar-the-game__,2009,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
disneys-ready-to-read-with-pooh,56,Historical_games,Disney's Ready to Read with Pooh,29273,http://www.mobygames.com/game/disneys-ready-to-read-with-pooh,1997,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
rampcube,57,Historical_games,Rampcube,67520,http://www.mobygames.com/game/rampcube,1991,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
star-wars-episode-iii-revenge-of-the-sith,58,Historical_games,Star Wars: Episode III - Revenge of the Sith,17831,http://www.mobygames.com/game/star-wars-episode-iii-revenge-of-the-sith,2005,,0,6.3,0,0,1.2,1.3,1.2,C:正規デジタル流通のみ,1,Y,https://www.xbox.com/en-us/games/store/star-wars-episode-iii-revenge-of-the-sith/9NKMR9BW2G2K,,,,,,
lemmings-paintball,59,Historical_games,Lemmings Paintball,2614,http://www.mobygames.com/game/lemmings-paintball,1996,1.27,1.270029422,7,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
great-cosmac-cosmos-puzzle,60,Historical_games,The Great COSMAC Cosmos Puzzle,178376,http://www.mobygames.com/game/great-cosmac-cosmos-puzzle,1979,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
brutal-sports-football,61,Historical_games,Brutal Sports Football,6340,http://www.mobygames.com/game/brutal-sports-football,1993,4.49,4.487437292,6.8,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,Antstream,,,,,,
x-the-hyper-ball,62,Historical_games,X the Hyper Ball,5602,http://www.mobygames.com/game/x-the-hyper-ball,2001,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
jurassic-park-iii-danger-zone,63,Historical_games,Jurassic Park III: Danger Zone!,76792,http://www.mobygames.com/game/jurassic-park-iii-danger-zone,2001,,0,6,0,0,0,0,0,F:入手困難,1,N,,,,,,,
hackmutation-part-2,64,Historical_games,.hack//Mutation: Part 2,9859,http://www.mobygames.com/game/hackmutation-part-2,2002,5,50.00388065,7.3,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
dark-disciples,65,Historical_games,Dark Disciples,13184,http://www.mobygames.com/game/dark-disciples,2004,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
easyfly-3-starter-edition,66,Historical_games,easyFly 3: Starter Edition,136318,http://www.mobygames.com/game/easyfly-3-starter-edition,2009,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
val-disre-ski-park-manager-edition-2003,67,Historical_games,Val d'Is?re Ski Park Manager: Gold Edition,37792,http://www.mobygames.com/game/val-disre-ski-park-manager-edition-2003,2003,,0,6.3,0,0,0,0,0,F:入手困難,1,N,,Regular edition sold on Zoom: https://www.zoom-platform.com/product/ski-park-manager?affiliate=1521eb3d-e19e-4005-a33f-e0d59b3ea278,,,,,
swat-target-liberty,68,Historical_games,SWAT: Target Liberty,34642,http://www.mobygames.com/game/swat-target-liberty,2007,5.45,5.447015078,5,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
back-in-time,69,Historical_games,Back in Time,141746,http://www.mobygames.com/game/back-in-time,1984,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
frontline-fields-of-thunder,70,Historical_games,Frontline: Fields of Thunder,33215,http://www.mobygames.com/game/frontline-fields-of-thunder,2007,4.55,4.550938763,6.8,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
scooby-doo-jinx-at-the-sphinx,71,Historical_games,Scooby-Doo!: Jinx at the Sphinx,62493,http://www.mobygames.com/game/scooby-doo-jinx-at-the-sphinx,2001,14.99,14.9934029,7.1,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
uno___,72,Historical_games,Uno,49359,http://www.mobygames.com/game/uno___,2008,5.46,5.461126516,7.1,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
bandit___,73,Historical_games,Bandit,113656,http://www.mobygames.com/game/bandit___,1977,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
nba-09-the-inside,74,Historical_games,NBA 09: The Inside,37675,http://www.mobygames.com/game/nba-09-the-inside,2008,1,1.0019121,6.5,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
american-speedway,75,Historical_games,American Speedway,130010,http://www.mobygames.com/game/american-speedway,1987,8.5,8.495085692,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
big-kahuna-reef-2-chain-reaction,76,Historical_games,Big Kahuna Reef 2: Chain Reaction,40016,http://www.mobygames.com/game/big-kahuna-reef-2-chain-reaction,2006,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
active-life-outdoor-challenge,77,Historical_games,Active Life: Outdoor Challenge,86117,http://www.mobygames.com/game/active-life-outdoor-challenge,2008,0.99,0.987800662,7,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
shadowrun_,78,Historical_games,Shadowrun,8662,http://www.mobygames.com/game/shadowrun_,1993,28,27.99709304,7.7,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
laser-arena,79,Historical_games,Laser Arena,4434,http://www.mobygames.com/game/laser-arena,2000,,0,6.6,0,0,0,0,0,F:入手困難,1,N,,,,,,,
flipper__,80,Historical_games,Flipper,180036,http://www.mobygames.com/game/flipper__,1983,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
one-must-fall-2097,81,Historical_games,One Must Fall 2097,234,http://www.mobygames.com/game/one-must-fall-2097,1994,77.08,77.0766745,7.9,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
yearn2learn-master-snoopys-world-geography,82,Historical_games,Yearn2Learn: Master Snoopy's World Geography,51074,http://www.mobygames.com/game/yearn2learn-master-snoopys-world-geography,1995,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
roundball-2-on-2-challenge,83,Historical_games,Roundball: 2-On-2 Challenge,34018,http://www.mobygames.com/game/roundball-2-on-2-challenge,1992,7.8,7.803625228,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
hang-man_,84,Historical_games,Hang Man,91450,http://www.mobygames.com/game/hang-man_,1994,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
air-zonk,85,Historical_games,Air Zonk,23730,http://www.mobygames.com/game/air-zonk,1992,,0,7.6,0,0,0,0,0,F:入手困難,1,N,,"Found in PC Engine/Turbografx-16 Mini, both of which are discontinued",,,,,
broken-sword-shadow-of-the-templars-the-directors-cut,86,Historical_games,Broken Sword: Shadow of the Templars - The Director's Cut,40000,http://www.mobygames.com/game/broken-sword-shadow-of-the-templars-the-directors-cut,2009,,0,8.2,0,0,1.2,1.3,1.2,C:正規デジタル流通のみ,1,Y,https://store.steampowered.com/app/57640/Broken_Sword_Directors_Cut/,,,,,,
hangmancompucolorii,87,Historical_games,Hangman,167162,http://www.mobygames.com/game/hangmancompucolorii,1978,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
jagged-alliance,88,Historical_games,Jagged Alliance,1038,http://www.mobygames.com/game/jagged-alliance,1995,4.06,4.064094152,7.8,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://www.gog.com/en/game/jagged_alliance,,,,,,
wild-west____,89,Historical_games,The Wild West,177671,http://www.mobygames.com/game/wild-west____,1986,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
battles-in-normandy,90,Historical_games,Battles in Normandy,55552,http://www.mobygames.com/game/battles-in-normandy,1987,25,24.99841246,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
shape-shifter,91,Historical_games,Shape Shifter,22861,http://www.mobygames.com/game/shape-shifter,1992,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
satellite-down-rescue-adventures-in-geography,92,Historical_games,Satellite Down!: Rescue Adventures in Geography,130230,http://www.mobygames.com/game/satellite-down-rescue-adventures-in-geography,1986,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
tinktonk-castle-clobber,93,Historical_games,Tink!Tonk!: Castle Clobber,156893,http://www.mobygames.com/game/tinktonk-castle-clobber,1985,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
spong,94,Historical_games,Spong,67549,http://www.mobygames.com/game/spong,1993,5.85,5.849191062,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
dt-racer,95,Historical_games,DT Racer,51701,http://www.mobygames.com/game/dt-racer,2003,0.01,0.007055719,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
gangsters-organized-crime,96,Historical_games,Gangsters: Organized Crime,3109,http://www.mobygames.com/game/gangsters-organized-crime,1998,2.55,2.554170283,6.8,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://www.gog.com/en/game/gangsters_organized_crime,,,,,,
space-bar,97,Historical_games,The Space Bar,2909,http://www.mobygames.com/game/space-bar,1997,9.22,9.22182475,7.3,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
ali-baba-and-the-forty-thieves,98,Historical_games,Ali Baba and the Forty Thieves,9320,http://www.mobygames.com/game/ali-baba-and-the-forty-thieves,1981,395.1,395.0990976,7.1,1,0.5,0,0,1.5,B:プレミア中古,1,N,,,,,,,
ez-language-spanish,99,Historical_games,EZ Language: Spanish,135589,http://www.mobygames.com/game/ez-language-spanish,1994,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
invaders-1978,100,Historical_games,Invaders 1978,19925,http://www.mobygames.com/game/invaders-1978,1996,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
bird-beans,101,Historical_games,Bird & Beans,47047,http://www.mobygames.com/game/bird-beans,2009,,0,6.8,0,0,0,0,0,F:入手困難,1,N,,,,,,,
lunar-lander__,102,Historical_games,Lunar Lander,65163,http://www.mobygames.com/game/lunar-lander__,1979,6.99,6.992217542,,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,Antstream,Also bundled in Atari 50: The Anniversary Collection,,,,,
buck-rogers-countdown-to-doomsday_,103,Historical_games,Buck Rogers: Countdown to Doomsday,37833,http://www.mobygames.com/game/buck-rogers-countdown-to-doomsday_,1991,21,20.99781978,7.4,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
rise-of-lost-empires,104,Historical_games,Rise of Lost Empires,32207,http://www.mobygames.com/game/rise-of-lost-empires,2007,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
pdp-10-timesharing-world-series,105,Historical_games,The PDP-10 Timesharing World Series,90370,http://www.mobygames.com/game/pdp-10-timesharing-world-series,1965,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
microsoft-flight-simulator-98,106,Historical_games,Microsoft Flight Simulator 98,455,http://www.mobygames.com/game/microsoft-flight-simulator-98,1997,3.21,3.210352151,7.6,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
kelly-slaters-pro-surfer,107,Historical_games,Kelly Slater's Pro Surfer,7431,http://www.mobygames.com/game/kelly-slaters-pro-surfer,2002,,0,7.7,0,0,0,0,0,F:入手困難,1,N,,,,,,,
quest-1,108,Historical_games,Quest 1,136902,http://www.mobygames.com/game/quest-1,1981,10.74,10.73880434,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
ultra-bust-a-move,109,Historical_games,Ultra Bust-a-Move,142314,http://www.mobygames.com/game/ultra-bust-a-move,2004,6.99,6.992217542,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
tall-infinity,110,Historical_games,Tall: Infinity,35663,http://www.mobygames.com/game/tall-infinity,1999,3.99,3.993536961,,1,0,0,0,1,A: 中古流通のみ,1,N,,"Available as a PS1 Classic on PS3 but practically unavailable due to technical issues. See ""Service Degradation of PlayStation 3 and PlayStation Vita Storefronts.""",,,,,
mario-clash,111,Historical_games,Mario Clash,15151,http://www.mobygames.com/game/mario-clash,1995,50.01,50.01093636,6.8,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
magic-boy,112,Historical_games,Magic Boy,7311,http://www.mobygames.com/game/magic-boy,1993,5.13,5.129507722,6.7,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
entrepreneur,113,Historical_games,Entrepreneur,36152,http://www.mobygames.com/game/entrepreneur,1997,9.99,9.990898122,7.2,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
artillery-firing-range,114,Historical_games,Artillery Firing Range,106219,http://www.mobygames.com/game/artillery-firing-range,1973,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
relentless-twinsens-adventure,115,Historical_games,Relentless: Twinsen's Adventure,748,http://www.mobygames.com/game/relentless-twinsens-adventure,1994,,0,8.2,0,0,1.2,1.3,1.2,C:正規デジタル流通のみ,1,Y,https://store.steampowered.com/app/397330/Twinsens_Little_Big_Adventure_Classic/,,,,,,
galaxy-force-ii,116,Historical_games,Galaxy Force II,23025,http://www.mobygames.com/game/galaxy-force-ii,1988,4.24,4.240487127,5.5,1,0,0,0,1,A: 中古流通のみ,1,N,https://store.steampowered.com/app/34310/Galaxy_Force_II/,"This is the arcade version of Galaxy Force II. The only version of Galaxy Force II currently available is the Sega Genesis version, which is significantly different from the original; the original game uses striking pseudo-3D graphics, which are missing from the Sega Genesis port. The remastered version of the arcade version was previously reissued as ""Sega 3D Classics Collection - Galaxy Force II"" on the 3DS eShop but is no longer available.",,,,,
james-camerons-avatar-the-game,117,Historical_games,James Cameron's Avatar: The Game,43903,http://www.mobygames.com/game/james-camerons-avatar-the-game,2009,,0,6.3,0,0,0,0,0,F:入手困難,1,N,,"PSP game reissued on PS Vita but practically unavailable due to technical issues. See ""Service Degradation of PlayStation 3 and PlayStation Vita Storefronts.""",,,,,
ches,118,Historical_games,Ches,129324,http://www.mobygames.com/game/ches,1973,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
rally-cross,119,Historical_games,Rally Cross,11605,http://www.mobygames.com/game/rally-cross,1997,0.99,0.987800662,7.6,1,0,0,0,1,A: 中古流通のみ,1,N,,"Available as a PS1 Classic on PS3 but practically unavailable due to technical issues. See ""Service Degradation of PlayStation 3 and PlayStation Vita Storefronts.""",,,,,
euchre__,120,Historical_games,Euchre,67858,http://www.mobygames.com/game/euchre__,1993,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
brain-challenge_,121,Historical_games,Brain Challenge,46232,http://www.mobygames.com/game/brain-challenge_,2007,1.27,1.270029422,6.9,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://www.xbox.com/en-us/games/store/brain-challenge/bvmnmc4j8klh,,,,,,
wumpus_,122,Historical_games,Wumpus,63723,http://www.mobygames.com/game/wumpus_,1972,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
rom-gold-rings-of-medusa,123,Historical_games,R.O.M. Gold: Rings of Medusa,6259,http://www.mobygames.com/game/rom-gold-rings-of-medusa,1994,,0,7.1,0,0,0,0,0,F:入手困難,1,N,,,,,,,
checkerstrs80softwareexchange,124,Historical_games,Checkers,161541,http://www.mobygames.com/game/checkerstrs80softwareexchange,1978,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
eco-adventures-in-the-oceans,125,Historical_games,Eco Adventures in the Oceans,152226,http://www.mobygames.com/game/eco-adventures-in-the-oceans,1992,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
otogi-2-immortal-warriors,126,Historical_games,Otogi 2: Immortal Warriors,25498,http://www.mobygames.com/game/otogi-2-immortal-warriors,2003,55.01,55.01344114,7.5,1,0,1.2,0,2.2,D:中古・正規両方流通あり,1,Y,https://www.xbox.com/en-US/games/store/otogi-2-immortal-warriors/9nh8v72vtj5k,,,,,,
space-array,127,Historical_games,Space Array,135541,http://www.mobygames.com/game/space-array,1983,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
pyramid_____,128,Historical_games,Pyramid,75360,http://www.mobygames.com/game/pyramid_____,1992,14.8,14.79584277,,1,0,0,0,1,A: 中古流通のみ,1,N,,,,,,,
castles-and-keys,129,Historical_games,Castles and Keys,173244,http://www.mobygames.com/game/castles-and-keys,1983,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
space-ace-21,130,Historical_games,Space Ace 21,147313,http://www.mobygames.com/game/space-ace-21,1981,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
protectors,131,Historical_games,Protectors,176896,http://www.mobygames.com/game/protectors,1982,,0,,0,0,0,0,0,F:入手困難,1,N,,,,,,,
